SYSCALL(args) 		 = return
Password:dtrace: 197469 dynamic variable drops with non-empty dirty list
open("/dev/dtracehelper\0", 0x2, 0xFFFFFFFFE594A9C0)		 = 3 0
ioctl(0x3, 0x80086804, 0x7FFEE594A920)		 = 0 0
close(0x3)		 = 0 0
access("/AppleInternal/XBS/.isChrooted\0", 0x0, 0x0)		 = -1 Err#2
thread_selfid(0x0, 0x0, 0x0)		 = 1789759 0
bsdthread_register(0x7FFF7780EBEC, 0x7FFF7780EBDC, 0x2000)		 = 1073742047 0
issetugid(0x0, 0x0, 0x0)		 = 0 0
mprotect(0x10A2C1000, 0x1000, 0x0)		 = 0 0
mprotect(0x10A2C6000, 0x1000, 0x0)		 = 0 0
mprotect(0x10A2C7000, 0x1000, 0x0)		 = 0 0
mprotect(0x10A2CC000, 0x1000, 0x0)		 = 0 0
mprotect(0x10A2BF000, 0x88, 0x1)		 = 0 0
mprotect(0x10A2CD000, 0x1000, 0x1)		 = 0 0
mprotect(0x10A2BF000, 0x88, 0x3)		 = 0 0
mprotect(0x10A2BF000, 0x88, 0x1)		 = 0 0
getpid(0x0, 0x0, 0x0)		 = 25547 0
stat64("/AppleInternal/XBS/.isChrooted\0", 0x7FFEE5949F48, 0x0)		 = -1 Err#2
stat64("/AppleInternal\0", 0x7FFEE5949FE0, 0x0)		 = -1 Err#2
csops(0x63CB, 0x7, 0x7FFEE5949A80)		 = 0 0
sysctl([CTL_KERN, 14, 1, 25547, 0, 0] (4), 0x7FFEE5949BC8, 0x7FFEE5949BC0, 0x0, 0x0)		 = 0 0
csops(0x63CB, 0x7, 0x7FFEE5949370)		 = 0 0
sigaction(0x3, 0x7FFEE594B718, 0x7FFEE594B740)		 = 0 0
sigaction(0x2, 0x7FFEE594B718, 0x7FFEE594B740)		 = 0 0
sigaction(0x1, 0x7FFEE594B718, 0x7FFEE594B740)		 = 0 0
sigprocmask(0x1, 0x0, 0x7FFEE594B750)		 = 0x0 0
sigaltstack(0x0, 0x7FFEE594B740, 0x0)		 = 0 0
sigaction(0xE, 0x7FFEE594B718, 0x7FFEE594B740)		 = 0 0
setitimer(0x0, 0x7FFEE594B720, 0x7FFEE594B740)		 = 0 0
getpriority(0x0, 0x0, 0x0)		 = 0 0
setpriority(0x0, 0x0, 0x0)		 = 0 0
getuid(0x0, 0x0, 0x0)		 = 0 0
getgid(0x0, 0x0, 0x0)		 = 0 0
shm_open(0x7FFF77803DEF, 0x0, 0x0)		 = 3 0
mmap(0x0, 0x1000, 0x1, 0x1, 0x3, 0x0)		 = 0x10A2CE000 0
close_nocancel(0x3)		 = 0 0
geteuid(0x0, 0x0, 0x0)		 = 0 0
getuid(0x0, 0x0, 0x0)		 = 0 0
geteuid(0x0, 0x0, 0x0)		 = 0 0
getegid(0x0, 0x0, 0x0)		 = 0 0
getdtablesize(0x0, 0x0, 0x0)		 = 200000 0
close(0x30D40)		 = -1 Err#9
close(0x30D3F)		 = -1 Err#9
close(0x30D3E)		 = -1 Err#9
close(0x30D3D)		 = -1 Err#9
close(0x30D3C)		 = -1 Err#9
close(0x30D3B)		 = -1 Err#9
close(0x30D3A)		 = -1 Err#9
close(0x30D39)		 = -1 Err#9
close(0x30D38)		 = -1 Err#9
close(0x30D37)		 = -1 Err#9
close(0x30D36)		 = -1 Err#9
close(0x30D35)		 = -1 Err#9
close(0x30D34)		 = -1 Err#9
close(0x30D33)		 = -1 Err#9
close(0x30D32)		 = -1 Err#9
close(0x30D31)		 = -1 Err#9
close(0x30D30)		 = -1 Err#9
close(0x30D2F)		 = -1 Err#9
close(0x30D2E)		 = -1 Err#9
close(0x30D2D)		 = -1 Err#9
close(0x30D2C)		 = -1 Err#9
close(0x30D2B)		 = -1 Err#9
close(0x30D2A)		 = -1 Err#9
close(0x30D29)		 = -1 Err#9
close(0x30D28)		 = -1 Err#9
close(0x30D27)		 = -1 Err#9
close(0x30D26)		 = -1 Err#9
close(0x30D25)		 = -1 Err#9
close(0x30D24)		 = -1 Err#9
close(0x30D23)		 = -1 Err#9
close(0x30D22)		 = -1 Err#9
